TC ID,Module,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority
CRM_LOGIN_TC_001,Login,Đăng nhập thành công với Email và Password hợp lệ,Tài khoản admin@example.com/123456 tồn tại và đang hoạt động (active); chưa có session đăng nhập,"1. Truy cập https://crm.anhtester.com/admin/authentication<br>2. Nhập Email: admin@example.com<br>3. Nhập Password: 123456<br>4. Nhấn nút ""Login""",Email: admin@example.com; Password: 123456,"1. Form Login hiển thị đầy đủ (Email, Password, Remember me, nút Login)<br>2. Trường Email nhận đúng giá trị<br>3. Trường Password hiển thị dạng ẩn (●●●)<br>4. Hệ thống redirect (303) thành công đến Dashboard (URL chứa /admin/), không có lỗi hiển thị",Critical
CRM_LOGIN_TC_002,Login,"Đăng nhập thành công khi tick chọn ""Remember me""",Tài khoản admin@example.com/123456 tồn tại và đang hoạt động,"1. Truy cập trang Login<br>2. Nhập Email: admin@example.com<br>3. Nhập Password: 123456<br>4. Tick chọn checkbox ""Remember me""<br>5. Nhấn nút ""Login""",Email: admin@example.com; Password: 123456; Remember me: checked,"4. Checkbox chuyển sang trạng thái checked<br>5. Đăng nhập thành công, redirect đến Dashboard; phiên đăng nhập được ghi nhớ (cần đối chiếu thời gian cụ thể với PO)",High
CRM_LOGIN_TC_003,Login,Bỏ trống trường Email khi Password hợp lệ,Truy cập trang Login lần đầu,"1. Truy cập trang Login<br>2. Để trống trường Email<br>3. Nhập Password: 123456<br>4. Nhấn nút ""Login""",Email: (để trống); Password: 123456,"4. Hệ thống hiển thị lỗi ""The Email Address field is required."" và không cho đăng nhập (ở lại trang Login)",Critical
CRM_LOGIN_TC_004,Login,Bỏ trống trường Password khi Email hợp lệ,Truy cập trang Login lần đầu,"1. Truy cập trang Login<br>2. Nhập Email: admin@example.com<br>3. Để trống trường Password<br>4. Nhấn nút ""Login""",Email: admin@example.com; Password: (để trống),"4. Hệ thống hiển thị lỗi ""The Password field is required."" và không cho đăng nhập",Critical
CRM_LOGIN_TC_005,Login,Bỏ trống đồng thời cả Email và Password,Truy cập trang Login lần đầu,"1. Truy cập trang Login<br>2. Để trống cả Email và Password<br>3. Nhấn nút ""Login""",Email: (trống); Password: (trống),"3. Hệ thống hiển thị đồng thời 2 lỗi: ""The Password field is required."" và ""The Email Address field is required.""",High
CRM_LOGIN_TC_006,Login,Email đúng định dạng nhưng không tồn tại trong hệ thống,Truy cập trang Login lần đầu,"1. Truy cập trang Login<br>2. Nhập Email: not_exist_user_20260803@example.com<br>3. Nhập Password: 123456<br>4. Nhấn nút ""Login""",Email: not_exist_user_20260803@example.com; Password: 123456,"4. Hệ thống hiển thị lỗi chung ""Invalid email or password"" (sau khi trang reload), không đăng nhập được, không tiết lộ email không tồn tại",Critical
CRM_LOGIN_TC_007,Login,Email tồn tại nhưng sai Password,Tài khoản admin@example.com tồn tại trên hệ thống,"1. Truy cập trang Login<br>2. Nhập Email: admin@example.com<br>3. Nhập Password: WrongPass_20260803<br>4. Nhấn nút ""Login""",Email: admin@example.com; Password: WrongPass_20260803,"4. Hệ thống hiển thị lỗi ""Invalid email or password"", không đăng nhập được",Critical
CRM_LOGIN_TC_008,Login,"[Validation Email] Email thiếu ký tự ""@""",Truy cập trang Login lần đầu,"1. Truy cập trang Login<br>2. Nhập Email: adminexample.com<br>3. Nhập Password: 123456<br>4. Nhấn nút ""Login""",Email: adminexample.com; Password: 123456,"4. Hệ thống hiển thị lỗi ""The Email Address field must contain a valid email address.""",High
CRM_LOGIN_TC_009,Login,"[Validation Email] Email thiếu phần domain sau ""@""",Truy cập trang Login lần đầu,"1. Truy cập trang Login<br>2. Nhập Email: admin@<br>3. Nhập Password: 123456<br>4. Nhấn nút ""Login""",Email: admin@; Password: 123456,"4. Hệ thống hiển thị lỗi ""The Email Address field must contain a valid email address.""",High
CRM_LOGIN_TC_010,Login,[Validation Email] Email có domain không hợp lệ (thiếu TLD),Truy cập trang Login lần đầu,"1. Truy cập trang Login<br>2. Nhập Email: admin@example<br>3. Nhập Password: 123456<br>4. Nhấn nút ""Login""",Email: admin@example; Password: 123456,"4. Hệ thống hiển thị lỗi ""The Email Address field must contain a valid email address.""",Medium
CRM_LOGIN_TC_011,Login,"[Validation Email] Email chứa nhiều ký tự ""@""",Truy cập trang Login lần đầu,"1. Truy cập trang Login<br>2. Nhập Email: admin@@example.com<br>3. Nhập Password: 123456<br>4. Nhấn nút ""Login""",Email: admin@@example.com; Password: 123456,"4. Hệ thống hiển thị lỗi ""The Email Address field must contain a valid email address.""",Medium
CRM_LOGIN_TC_012,Login,"[Validation Email] Email chứa ký tự đặc biệt không hợp lệ trước ""@""",Truy cập trang Login lần đầu,"1. Truy cập trang Login<br>2. Nhập Email: admin!#$%^&*()@example.com<br>3. Nhập Password: 123456<br>4. Nhấn nút ""Login""",Email: admin!#$%^&*()@example.com; Password: 123456,4. Hệ thống hiển thị lỗi định dạng email hợp lệ (hoặc chấp nhận nếu ký tự thuộc RFC 5322 — tester cần đối chiếu kết quả thực tế để xác nhận rule cụ thể),Low
