"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4859","CRM_DASHBOARD_TC_007 - Click ""Invoice"" trong Quick Create điều hướng đúng trang tạo mới","chromium","2026-08-04","passed","2026-08-04","Dashboard Module - Header","dashboard/dashboard-header.spec.ts","",""
"","7890","CRM_DASHBOARD_TC_024 - Đăng xuất từ Dashboard quay lại trang Login","webkit","2026-08-04","passed","2026-08-04","Dashboard Module","dashboard/dashboard.spec.ts","",""
"","4905","CRM_DASHBOARD_TC_013 - Click icon Notifications mở dropdown","firefox","2026-08-04","passed","2026-08-04","Dashboard Module - Header","dashboard/dashboard-header.spec.ts","",""
"","6967","CRM_DASHBOARD_TC_032 - Widget Calendar hiển thị đúng tháng/năm hiện tại và đủ 7 cột thứ","webkit","2026-08-04","passed","2026-08-04","Dashboard Module - Widget Content","dashboard/dashboard-widgets.spec.ts","",""
"","7585","CRM_DASHBOARD_TC_013 - Click icon Notifications mở dropdown","webkit","2026-08-04","passed","2026-08-04","Dashboard Module - Header","dashboard/dashboard-header.spec.ts","",""
"","4633","CRM_DASHBOARD_TC_010 - Click icon Todo trên Header điều hướng đúng trang","chromium","2026-08-04","passed","2026-08-04","Dashboard Module - Header","dashboard/dashboard-header.spec.ts","",""
"","4331","CRM_DASHBOARD_TC_022 - Progress bar trong Quick Statistics có giá trị phần trăm hợp lệ","chromium","2026-08-04","passed","2026-08-04","Dashboard Module","dashboard/dashboard.spec.ts","",""
"","5255","CRM_DASHBOARD_TC_015 - Click ""My Profile"" điều hướng đúng trang","firefox","2026-08-04","passed","2026-08-04","Dashboard Module - Header","dashboard/dashboard-header.spec.ts","",""
"","3949","CRM_LOGIN_TC_008 - Email thiếu ký tự ""@""","webkit","2026-08-04","passed","2026-08-04","Login Module - Email Field Validation","auth/login-email-validation.spec.ts","",""
"","4909","CRM_DASHBOARD_TC_027 - Dropdown chọn năm trong Finance Overview hiển thị đủ option và mặc định đúng năm hiện tại","firefox","2026-08-04","passed","2026-08-04","Dashboard Module - Widget Content","dashboard/dashboard-widgets.spec.ts","",""
"","4655","CRM_DASHBOARD_TC_026 - Click trạng thái ""Unpaid"" trong Invoice overview điều hướng đúng URL filter","firefox","2026-08-04","passed","2026-08-04","Dashboard Module - Widget Content","dashboard/dashboard-widgets.spec.ts","",""
"","6707","CRM_DASHBOARD_TC_011 - Badge số lượng Todo hiển thị đúng định dạng","webkit","2026-08-04","passed","2026-08-04","Dashboard Module - Header","dashboard/dashboard-header.spec.ts","",""
"","2847","CRM_LOGIN_TC_026 - Click liên kết ""Forgot Password?"" điều hướng đúng trang","webkit","2026-08-04","passed","2026-08-04","Login Module - Navigation","auth/login-navigation.spec.ts","",""
"","3037","CRM_LOGIN_TC_004 - bỏ trống trường Password khi Email hợp lệ","firefox","2026-08-04","passed","2026-08-04","Login Module","auth/login.spec.ts","",""
"","7665","CRM_DASHBOARD_TC_018 - Click ""Sales"" trên Sidebar mở rộng submenu, không điều hướng ngay","webkit","2026-08-04","passed","2026-08-04","Dashboard Module - Sidebar","dashboard/dashboard-sidebar.spec.ts","",""
"","4554","CRM_DASHBOARD_TC_016 - Submenu ""Language"" hiển thị đủ ngôn ngữ, English đang active","chromium","2026-08-04","passed","2026-08-04","Dashboard Module - Header","dashboard/dashboard-header.spec.ts","",""
"","5006","CRM_DASHBOARD_TC_036 - Widget ""Contracts Expiring Soon"" hiển thị đúng cột và link View All điều hướng đúng trang","chromium","2026-08-04","passed","2026-08-04","Dashboard Module - Widget Content","dashboard/dashboard-widgets.spec.ts","",""
"","3181","CRM_LOGIN_TC_008 - Email thiếu ký tự ""@""","firefox","2026-08-04","passed","2026-08-04","Login Module - Email Field Validation","auth/login-email-validation.spec.ts","",""
"","5161","CRM_DASHBOARD_TC_023 - Nút ""Dashboard Options"" hiển thị và có thể click","firefox","2026-08-04","passed","2026-08-04","Dashboard Module","dashboard/dashboard.spec.ts","",""
"","4762","CRM_DASHBOARD_TC_001 - Đăng nhập thành công hiển thị đúng trang Dashboard","chromium","2026-08-04","passed","2026-08-04","Dashboard Module","dashboard/dashboard.spec.ts","",""
"","2079","CRM_LOGIN_TC_011 - Email chứa nhiều ký tự ""@""","chromium","2026-08-04","passed","2026-08-04","Login Module - Email Field Validation","auth/login-email-validation.spec.ts","",""
"","2996","CRM_LOGIN_TC_021 - Password chứa ký tự Unicode/Emoji","firefox","2026-08-04","passed","2026-08-04","Login Module - Password Field Validation","auth/login-password-validation.spec.ts","",""
"","6857","CRM_LOGIN_TC_014 - Email có khoảng trắng ở đầu và cuối","webkit","2026-08-04","passed","2026-08-04","Login Module - Email Field Validation","auth/login-email-validation.spec.ts","",""
"","2921","CRM_LOGIN_TC_008 - Email thiếu ký tự ""@""","chromium","2026-08-04","passed","2026-08-04","Login Module - Email Field Validation","auth/login-email-validation.spec.ts","",""
"","4321","CRM_DASHBOARD_TC_032 - Widget Calendar hiển thị đúng tháng/năm hiện tại và đủ 7 cột thứ","chromium","2026-08-04","passed","2026-08-04","Dashboard Module - Widget Content","dashboard/dashboard-widgets.spec.ts","",""
"","4651","CRM_DASHBOARD_TC_028 - Chọn thêm năm trong Finance Overview vẫn hiển thị đúng định dạng tiền tệ","firefox","2026-08-04","passed","2026-08-04","Dashboard Module - Widget Content","dashboard/dashboard-widgets.spec.ts","",""
"","4511","CRM_DASHBOARD_TC_013 - Click icon Notifications mở dropdown","chromium","2026-08-04","passed","2026-08-04","Dashboard Module - Header","dashboard/dashboard-header.spec.ts","",""
"","2398","CRM_LOGIN_TC_024 - Checkbox ""Remember me"" mặc định không được chọn khi tải trang","firefox","2026-08-04","passed","2026-08-04","Login Module - Remember Me Checkbox","auth/login-remember-me.spec.ts","",""
"","5533","CRM_DASHBOARD_TC_007 - Click ""Invoice"" trong Quick Create điều hướng đúng trang tạo mới","firefox","2026-08-04","passed","2026-08-04","Dashboard Module - Header","dashboard/dashboard-header.spec.ts","",""
"","2309","CRM_LOGIN_TC_009 - Email thiếu phần domain sau ""@""","webkit","2026-08-04","passed","2026-08-04","Login Module - Email Field Validation","auth/login-email-validation.spec.ts","",""
"","7190","CRM_DASHBOARD_TC_021 - Widget ""Quick Statistics"" hiển thị đủ 4 chỉ số","webkit","2026-08-04","passed","2026-08-04","Dashboard Module","dashboard/dashboard.spec.ts","",""
"","4455","CRM_DASHBOARD_TC_043 - Widget ""Staff Tickets Report"" và ""Tickets Chart"" tồn tại trong DOM ở trạng thái không dữ liệu","chromium","2026-08-04","passed","2026-08-04","Dashboard Module - Widget Content","dashboard/dashboard-widgets.spec.ts","",""
"","4100","CRM_LOGIN_TC_006 - Email đúng định dạng nhưng không tồn tại trong hệ thống","webkit","2026-08-04","passed","2026-08-04","Login Module","auth/login.spec.ts","",""
"","2093","CRM_LOGIN_TC_024 - Checkbox ""Remember me"" mặc định không được chọn khi tải trang","chromium","2026-08-04","passed","2026-08-04","Login Module - Remember Me Checkbox","auth/login-remember-me.spec.ts","",""
"","4676","CRM_DASHBOARD_TC_035 - Dropdown chế độ biểu đồ Payment Records chuyển đổi Weekly/Monthly đúng","firefox","2026-08-04","passed","2026-08-04","Dashboard Module - Widget Content","dashboard/dashboard-widgets.spec.ts","",""
"","4769","CRM_DASHBOARD_TC_025 - Widget ""Finance Overview"" hiển thị đủ 3 khối overview đúng trạng thái","chromium","2026-08-04","passed","2026-08-04","Dashboard Module - Widget Content","dashboard/dashboard-widgets.spec.ts","",""
"","7577","CRM_DASHBOARD_TC_028 - Chọn thêm năm trong Finance Overview vẫn hiển thị đúng định dạng tiền tệ","webkit","2026-08-04","passed","2026-08-04","Dashboard Module - Widget Content","dashboard/dashboard-widgets.spec.ts","",""
