TC ID,Module,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority
CRM_DASHBOARD_TC_001,Dashboard,Đăng nhập thành công hiển thị đúng trang Dashboard,Tài khoản admin@example.com/123456 tồn tại và đang hoạt động,1. Đăng nhập với admin@example.com/123456<br>2. Quan sát trang được điều hướng tới,Email: admin@example.com; Password: 123456,"1. Hệ thống redirect đến https://crm.anhtester.com/admin/, tiêu đề trang là ""Dashboard""<br>2. Header, Sidebar, khu vực Content đều hiển thị, không có lỗi",Critical
CRM_DASHBOARD_TC_002,Dashboard,Header hiển thị đầy đủ các thành phần chính,"Đã đăng nhập, đang ở trang Dashboard",1. Quan sát thanh Header trên cùng,N/A,"1. Hiển thị đầy đủ: ô tìm kiếm, icon Quick Create (+), icon Newsfeed, icon Todo (kèm badge), icon Timers, icon Notifications, avatar tài khoản",High
CRM_DASHBOARD_TC_003,Dashboard,Sidebar hiển thị đầy đủ các menu cấp 1,"Đã đăng nhập, đang ở trang Dashboard",1. Quan sát menu Sidebar bên trái,N/A,"1. Hiển thị đủ 14 mục: Dashboard, Customers, Projects, Tasks, Contracts, Sales, Subscriptions, Expenses, Support, Leads, Estimate Request, Knowledge Base, Utilities, Reports — mỗi mục có icon + label rõ ràng",High
CRM_DASHBOARD_TC_004,Dashboard,"Mục ""Dashboard"" trên Sidebar ở trạng thái active khi đang ở trang chủ","Đã đăng nhập, đang ở trang Dashboard (/admin/)","1. Quan sát mục ""Dashboard"" trên Sidebar",N/A,"1. Mục ""Dashboard"" được đánh dấu active/highlight khác với các mục còn lại",Medium
CRM_DASHBOARD_TC_005,Dashboard,Ô tìm kiếm trên Header hiển thị đúng placeholder,"Đã đăng nhập, đang ở trang Dashboard",1. Quan sát ô tìm kiếm trên Header,N/A,"1. Ô input hiển thị placeholder ""Search..."" và tooltip gợi ý dùng ""#tagname"" để tìm theo tag",Low
CRM_DASHBOARD_TC_006,Dashboard,Click mở dropdown Quick Create hiển thị đủ danh sách shortcut,"Đã đăng nhập, đang ở trang Dashboard","1. Click vào icon ""+"" (Quick Create) trên Header",N/A,"1. Dropdown mở ra, hiển thị đủ 12 mục: Invoice, Estimate, Proposal, Credit Note, Customer, Subscription, Project, Task, Expense, Contract, Article, Ticket, Event",Medium
CRM_DASHBOARD_TC_007,Dashboard,"Click ""Invoice"" trong Quick Create điều hướng đúng trang tạo mới","Đã đăng nhập, đang ở trang Dashboard","1. Mở dropdown Quick Create<br>2. Click mục ""Invoice""",N/A,2. Điều hướng đến https://crm.anhtester.com/admin/invoices/invoice (trang tạo Invoice mới),Medium
CRM_DASHBOARD_TC_008,Dashboard,"Click ""Customer"" trong Quick Create điều hướng đúng trang tạo mới","Đã đăng nhập, đang ở trang Dashboard","1. Mở dropdown Quick Create<br>2. Click mục ""Customer""",N/A,2. Điều hướng đến https://crm.anhtester.com/admin/clients/client (trang tạo Customer mới),Medium
CRM_DASHBOARD_TC_009,Dashboard,"Click ""Task"" trong Quick Create mở modal tạo Task (không điều hướng trang)","Đã đăng nhập, đang ở trang Dashboard","1. Mở dropdown Quick Create<br>2. Click mục ""Task""",N/A,"2. Modal/form tạo Task mới hiển thị qua JavaScript (onclick=""new_task()""), URL trang KHÔNG đổi",Medium
CRM_DASHBOARD_TC_010,Dashboard,Click icon Todo trên Header điều hướng đúng trang,"Đã đăng nhập, đang ở trang Dashboard",1. Click icon Todo trên Header,N/A,1. Điều hướng đến https://crm.anhtester.com/admin/todo,Medium
